$$ * $$
OOC
Landmarks
Supervision
Multi-level
$$*( \require{enclose}      \enclose{horizontalstrike}{MN} )$$
Cartesian
$$*( \require{enclose}      \enclose{horizontalstrike}{FN} )$$
Glob. & Lin.
Cart. $$( \require{enclose}      \enclose{horizontalstrike}{FN} )$$
Supervised
Steer. $$( \require{enclose}      \enclose{horizontalstrike}{FN} )$$
$$( \require{enclose}      \enclose{horizontalstrike}{FN} )$$
